loan_id,credit_score,ltv_ratio,dti_ratio,loan_amount,loan_age_months,original_interest_rate,num_units,occupancy_type,loan_purpose,state,property_value,num_borrowers,months_since_last_payment,is_delinquent,refinance_probability,loan_status,servicing_fee,next_payment_date
FMAC-00015,559,76.76,32.16,442544,51,7.86,2,Investment,Purchase,FL,1054321,2,1,0,0.502,30-Day DQ,92.2,2025-01-15
FMAC-00016,640,76.17,48.38,353945,216,5.043,1,Primary,Purchase,NC,193391,2,0,0,0.634,Current,73.74,2025-01-16
FMAC-00017,609,100.7,22.81,655648,176,6.144,1,Primary,Refinance,TX,1069884,1,0,0,0.524,60-Day DQ,136.59,2025-01-17
FMAC-00018,701,87.46,10.0,227631,358,7.91,1,Primary,Refinance,PA,412544,2,0,0,0.307,Current,47.42,2025-01-18
FMAC-00019,616,62.64,33.49,374478,253,5.721,2,Investment,Refinance,CA,398402,2,0,0,0.469,Current,78.02,2025-01-19
FMAC-00020,581,105.0,43.52,316545,246,7.135,1,Primary,Purchase,CA,836366,2,0,1,0.327,Current,65.95,2025-01-20
FMAC-00021,782,96.32,50.0,93288,227,6.51,1,Primary,Refinance,NY,997898,2,0,0,0.374,Current,19.43,2025-01-21
FMAC-00022,664,86.73,33.37,757758,106,6.897,1,Primary,Purchase,AZ,773641,2,0,0,0.472,60-Day DQ,157.87,2025-01-22
FMAC-00023,684,74.6,33.89,287302,193,6.547,1,Investment,Purchase,FL,765522,1,0,0,0.341,Current,59.85,2025-01-23
FMAC-00024,580,63.61,49.54,878623,316,7.395,1,Primary,Purchase,NY,1118528,2,0,0,0.359,Current,183.05,2025-01-24
FMAC-00025,641,72.42,19.3,360195,302,5.274,1,Primary,Purchase,OH,471021,2,0,0,0.382,Paid Off,75.04,2025-01-25
FMAC-00026,687,94.33,34.11,141715,36,5.404,1,Primary,Refinance,GA,843192,2,0,0,0.55,Current,29.52,2025-01-26
FMAC-00027,599,105.0,39.9,90737,204,8.257,1,Primary,Cash-Out Refinance,IL,1160251,2,0,0,0.334,Current,18.9,2025-01-27
FMAC-00028,706,101.15,42.49,669428,267,9.02,1,Investment,Refinance,CA,189606,1,0,0,0.118,Current,139.46,2025-01-28
FMAC-00029,637,70.67,32.9,760611,268,6.493,2,Primary,Purchase,FL,382224,1,0,0,0.604,Current,158.46,2025-01-29
FMAC-00030,659,61.21,38.34,262047,170,8.558,1,Primary,Purchase,AZ,343747,1,0,0,0.459,Current,54.59,2025-01-30
FMAC-00031,637,80.11,13.12,347291,39,5.574,1,Second Home,Purchase,FL,348585,2,0,0,0.276,Current,72.35,2025-01-31
FMAC-00032,809,51.47,31.42,654796,139,5.862,1,Investment,Refinance,IL,1158595,1,0,1,0.539,90+ DQ,136.42,2025-02-01
FMAC-00033,679,82.85,42.54,394368,292,8.249,4,Primary,Refinance,IL,560498,1,0,0,0.522,Current,82.16,2025-02-02
FMAC-00034,605,75.79,28.18,361787,52,7.465,2,Primary,Cash-Out Refinance,NY,450448,2,1,0,0.383,60-Day DQ,75.37,2025-02-03
FMAC-00035,737,71.01,38.59,381111,287,8.428,1,Second Home,Purchase,NC,829221,2,1,0,0.378,Current,79.4,2025-02-04
FMAC-00036,594,54.08,42.47,183535,289,7.062,1,Primary,Refinance,OH,1153062,2,0,0,0.386,Current,38.24,2025-02-05
FMAC-00037,694,85.7,34.57,907165,141,5.285,1,Investment,Refinance,OH,444165,2,0,1,0.541,Current,188.99,2025-02-06
FMAC-00038,542,70.01,39.7,376952,146,6.768,2,Investment,Cash-Out Refinance,TX,835224,1,0,1,0.533,Foreclosure,78.53,2025-02-07
FMAC-00039,587,60.45,28.37,592438,314,7.942,1,Primary,Refinance,OH,774472,1,0,1,0.263,Current,123.42,2025-02-08
FMAC-00040,693,34.92,35.93,802648,184,6.341,1,Investment,Refinance,FL,675985,2,0,0,0.376,Current,167.22,2025-02-09
FMAC-00041,731,77.59,44.1,663247,152,6.156,1,Primary,Refinance,OH,209537,2,0,0,0.464,Current,138.18,2025-02-10
FMAC-00042,691,104.58,39.57,475065,201,7.081,2,Primary,Refinance,AZ,984248,2,0,0,0.448,Paid Off,98.97,2025-02-11
FMAC-00043,671,102.92,32.13,410322,128,5.829,1,Primary,Purchase,OH,1175152,1,0,1,0.508,Paid Off,85.48,2025-02-12
FMAC-00044,658,71.14,40.24,802496,287,6.855,1,Investment,Purchase,CA,1102383,1,0,0,0.407,Current,167.19,2025-02-13
FMAC-00045,576,68.97,45.15,271812,311,6.576,1,Primary,Purchase,TX,1011575,2,0,1,0.349,Current,56.63,2025-02-14
FMAC-00046,629,85.03,17.5,192255,253,5.912,1,Primary,Purchase,FL,775609,2,0,0,0.562,Current,40.05,2025-02-15
FMAC-00047,647,63.02,49.59,690610,266,7.677,1,Investment,Refinance,IL,566981,2,0,1,0.271,Paid Off,143.88,2025-02-16
FMAC-00048,753,82.53,34.64,910997,188,7.275,4,Primary,Purchase,NY,191810,2,0,0,0.36,Current,189.79,2025-02-17
FMAC-00049,704,89.49,42.25,588522,230,6.076,3,Primary,Purchase,GA,989302,2,0,1,0.459,Current,122.61,2025-02-18
FMAC-00050,556,96.4,49.97,81132,271,6.482,1,Second Home,Purchase,NY,545581,2,0,1,0.489,Paid Off,16.9,2025-02-19
FMAC-00051,702,76.5,24.28,773619,259,6.174,1,Primary,Refinance,NC,929358,2,0,0,0.424,Current,161.17,2025-02-20
FMAC-00052,653,74.94,30.91,831972,299,5.734,1,Investment,Purchase,GA,190214,2,0,0,0.546,30-Day DQ,173.33,2025-02-21
FMAC-00053,632,64.83,35.11,930100,198,4.462,2,Investment,Purchase,AZ,449894,2,0,0,0.647,Current,193.77,2025-02-22
FMAC-00054,722,65.6,30.16,339427,323,5.919,1,Primary,Purchase,PA,1187175,2,0,0,0.401,Current,70.71,2025-02-23
FMAC-00055,752,74.6,55.35,511779,56,5.751,1,Primary,Purchase,TX,329417,2,0,1,0.509,Current,106.62,2025-02-24
FMAC-00056,745,83.51,29.43,565443,319,6.638,2,Primary,Cash-Out Refinance,IL,733778,1,0,0,0.459,Current,117.8,2025-02-25
FMAC-00057,621,91.7,32.44,713123,203,7.029,1,Primary,Purchase,NY,646881,2,0,1,0.385,Current,148.57,2025-02-26
FMAC-00058,658,65.95,40.04,222003,271,5.537,1,Primary,Refinance,OH,734153,2,0,0,0.288,Current,46.25,2025-02-27
FMAC-00059,703,100.39,25.98,862516,109,6.948,1,Second Home,Refinance,TX,1077397,1,0,0,0.457,Current,179.69,2025-02-28
FMAC-00060,748,73.93,34.04,677457,116,5.353,1,Primary,Cash-Out Refinance,OH,797996,2,0,0,0.532,Paid Off,141.14,2025-03-01
FMAC-00061,646,77.68,41.17,340529,92,6.35,1,Primary,Purchase,TX,562441,1,0,0,0.555,Current,70.94,2025-03-02
FMAC-00062,667,66.79,34.67,523855,138,5.777,1,Primary,Purchase,TX,1057867,2,0,0,0.435,Current,109.14,2025-03-03
FMAC-00063,602,41.64,37.07,333608,303,7.395,1,Primary,Purchase,NC,841277,2,0,0,0.337,Current,69.5,2025-03-04
FMAC-00064,596,91.26,32.71,838673,57,6.64,1,Primary,Purchase,CA,329701,1,0,1,0.343,Current,174.72,2025-03-05
FMAC-00065,736,89.05,22.86,794261,50,6.368,1,Primary,Refinance,AZ,1106629,2,0,1,0.145,Paid Off,165.47,2025-03-06
FMAC-00066,774,73.78,41.22,704705,71,5.75,1,Primary,Purchase,OH,232192,2,1,0,0.43,Current,146.81,2025-03-07
FMAC-00067,674,79.0,55.55,605332,82,6.105,4,Primary,Purchase,OH,1033995,2,0,0,0.732,Current,126.11,2025-03-08
FMAC-00068,750,85.74,38.18,257763,105,8.695,1,Second Home,Cash-Out Refinance,OH,1192214,2,0,0,0.479,90+ DQ,53.7,2025-03-09
FMAC-00069,705,54.56,40.25,311807,88,5.899,1,Second Home,Refinance,NC,1106648,2,0,0,0.365,Current,64.96,2025-03-10
FMAC-00070,634,70.06,44.93,104363,2,7.075,1,Primary,Purchase,NY,1163789,2,0,1,0.366,Current,21.74,2025-03-11
FMAC-00071,705,89.91,25.31,388838,84,6.365,3,Primary,Purchase,FL,441910,2,0,0,0.393,90+ DQ,81.01,2025-03-12
FMAC-00072,787,59.19,55.03,474798,43,7.041,1,Primary,Purchase,OH,765400,1,0,0,0.558,30-Day DQ,98.92,2025-03-13
FMAC-00073,677,82.4,40.02,887733,154,7.504,1,Primary,Cash-Out Refinance,NY,821662,2,0,0,0.622,Current,184.94,2025-03-14
FMAC-00074,789,57.65,54.32,416473,327,6.075,2,Primary,Cash-Out Refinance,CA,867360,1,0,0,0.466,Current,86.77,2025-03-15
FMAC-00075,496,85.0,30.67,81620,94,7.352,1,Primary,Cash-Out Refinance,OH,872354,2,3,1,0.432,Foreclosure,17.0,2025-03-16
FMAC-00076,737,77.47,56.18,404368,298,9.808,2,Second Home,Cash-Out Refinance,AZ,314480,2,0,0,0.36,Current,84.24,2025-03-17
FMAC-00077,686,53.77,45.75,529871,133,7.181,2,Primary,Purchase,IL,832654,1,0,0,0.411,30-Day DQ,110.39,2025-03-18
FMAC-00078,659,95.47,43.53,175419,65,8.436,3,Investment,Purchase,PA,511973,2,0,1,0.391,Paid Off,36.55,2025-03-19
FMAC-00079,686,66.98,40.34,772894,290,7.077,1,Primary,Purchase,OH,611213,1,0,0,0.422,Current,161.02,2025-03-20
FMAC-00080,540,65.85,35.51,576712,257,5.382,1,Primary,Refinance,FL,614738,2,0,1,0.533,Current,120.15,2025-03-21
FMAC-00081,664,81.01,50.01,806989,213,6.831,2,Investment,Cash-Out Refinance,IL,515335,2,0,0,0.227,Current,168.12,2025-03-22
FMAC-00082,704,95.23,39.4,922288,148,6.104,1,Primary,Purchase,AZ,438663,2,0,1,0.408,Current,192.14,2025-03-23
FMAC-00083,783,62.76,18.33,260324,61,5.785,1,Primary,Purchase,NC,785359,2,0,0,0.35,Current,54.23,2025-03-24
FMAC-00084,643,78.93,26.83,397953,149,6.413,1,Primary,Cash-Out Refinance,PA,1057262,2,0,0,0.512,Paid Off,82.91,2025-03-25
FMAC-00085,623,84.43,36.14,626547,88,6.314,1,Primary,Purchase,NC,980756,2,0,1,0.369,Current,130.53,2025-03-26
FMAC-00086,644,88.4,41.1,100655,324,5.228,1,Primary,Cash-Out Refinance,FL,562735,2,0,1,0.334,Current,20.97,2025-03-27
FMAC-00087,744,80.65,37.43,530400,278,9.75,1,Primary,Purchase,PA,363648,1,0,0,0.131,Current,110.5,2025-03-28
FMAC-00088,703,72.49,50.19,101602,82,7.469,1,Primary,Purchase,FL,1138985,2,0,0,0.446,Current,21.17,2025-03-29
FMAC-00089,642,65.59,18.49,746470,129,6.793,1,Primary,Purchase,NC,430130,2,0,0,0.335,Current,155.51,2025-03-30
FMAC-00090,715,79.29,39.44,422962,286,6.608,1,Primary,Refinance,AZ,569988,1,0,0,0.422,Current,88.12,2025-03-31
FMAC-00091,686,61.92,19.82,605825,353,7.943,1,Primary,Refinance,PA,1003153,1,0,0,0.541,Current,126.21,2025-04-01
FMAC-00092,747,34.18,45.6,490354,280,8.991,1,Primary,Purchase,GA,175427,1,3,0,0.378,90+ DQ,102.16,2025-04-02
FMAC-00093,630,84.55,37.06,860498,270,7.322,1,Primary,Cash-Out Refinance,NY,113898,2,0,0,0.356,Current,179.27,2025-04-03
FMAC-00094,657,91.56,42.2,781562,292,6.645,1,Primary,Refinance,AZ,1027976,1,0,1,0.317,Current,162.83,2025-04-04
FMAC-00095,652,42.56,29.36,251236,203,8.267,1,Primary,Refinance,PA,471167,2,0,0,0.413,Current,52.34,2025-04-05
FMAC-00096,577,62.85,50.79,169743,24,6.671,1,Primary,Purchase,FL,1050136,2,1,1,0.42,60-Day DQ,35.36,2025-04-06
FMAC-00097,700,87.29,48.42,527875,351,7.022,1,Primary,Cash-Out Refinance,FL,658031,2,0,0,0.477,Paid Off,109.97,2025-04-07
FMAC-00098,698,105.0,43.84,166155,311,7.701,1,Primary,Purchase,CA,867877,1,0,1,0.154,Current,34.62,2025-04-08
FMAC-00099,680,78.31,36.7,169846,208,6.036,1,Primary,Purchase,AZ,230864,2,6,0,0.572,30-Day DQ,35.38,2025-04-09
FMAC-00100,663,67.08,43.8,838795,280,4.009,1,Primary,Purchase,FL,330804,2,1,0,0.368,Current,174.75,2025-04-10
FMAC-00101,580,75.26,30.93,372706,205,5.978,1,Primary,Purchase,TX,888512,2,0,1,0.412,Current,77.65,2025-04-11
FMAC-00102,650,98.62,46.56,894468,152,7.428,2,Primary,Cash-Out Refinance,NY,1164204,2,3,0,0.542,60-Day DQ,186.35,2025-04-12
FMAC-00103,656,68.31,54.49,796112,26,7.343,1,Primary,Purchase,NC,487994,1,0,1,0.183,Current,165.86,2025-04-13
FMAC-00104,623,66.01,48.71,940665,194,8.111,3,Primary,Purchase,IL,239337,2,0,0,0.367,Current,195.97,2025-04-14
FMAC-00105,668,70.76,30.7,687337,336,6.024,1,Primary,Cash-Out Refinance,CA,898892,2,0,0,0.432,Current,143.2,2025-04-15
FMAC-00106,708,63.7,41.61,319647,238,8.397,1,Primary,Refinance,FL,359970,1,1,1,0.361,Current,66.59,2025-04-16
FMAC-00107,812,79.84,25.07,410825,321,6.722,1,Investment,Refinance,TX,888634,1,0,0,0.467,Current,85.59,2025-04-17
FMAC-00108,692,102.37,43.72,369962,75,7.225,1,Primary,Purchase,CA,975842,1,0,1,0.413,Current,77.08,2025-04-18
FMAC-00109,698,82.85,42.51,928964,163,7.584,1,Primary,Refinance,TX,344000,1,3,1,0.263,Current,193.53,2025-04-19
FMAC-00110,674,74.21,19.3,399849,299,4.842,1,Second Home,Purchase,CA,373994,1,0,0,0.516,Current,83.3,2025-04-20
FMAC-00111,545,73.62,26.38,624392,29,5.294,1,Primary,Cash-Out Refinance,FL,758166,2,0,0,0.486,Current,130.08,2025-04-21
FMAC-00112,678,54.55,35.17,466480,165,5.254,1,Primary,Refinance,TX,1024667,2,0,1,0.484,Current,97.18,2025-04-22
FMAC-00113,684,91.25,34.99,732192,337,7.787,1,Primary,Refinance,PA,456512,2,0,0,0.597,30-Day DQ,152.54,2025-04-23
FMAC-00114,850,76.83,25.91,936035,186,6.133,1,Primary,Purchase,AZ,886617,2,0,0,0.588,Current,195.01,2025-04-24
FMAC-00115,666,75.29,41.89,706787,54,8.933,2,Primary,Purchase,IL,1173294,2,2,1,0.525,Paid Off,147.25,2025-04-25
FMAC-00116,701,105.0,40.51,925457,295,6.504,1,Primary,Purchase,NC,771366,2,0,1,0.474,Foreclosure,192.8,2025-04-26
FMAC-00117,677,82.48,36.06,831624,42,4.734,1,Second Home,Purchase,IL,849440,2,0,1,0.689,Current,173.26,2025-04-27
FMAC-00118,598,66.72,30.44,898749,285,5.693,1,Primary,Purchase,NC,526185,2,0,1,0.387,Current,187.24,2025-04-28
FMAC-00119,759,71.6,48.49,504632,138,6.641,1,Primary,Refinance,GA,701108,2,0,0,0.398,Current,105.13,2025-04-29
FMAC-00120,732,95.23,54.55,253084,187,7.118,1,Primary,Purchase,NY,990446,2,0,0,0.357,Current,52.73,2025-04-30
FMAC-00121,735,79.7,33.16,604156,204,5.318,1,Second Home,Refinance,GA,1147197,1,0,0,0.438,Current,125.87,2025-05-01
FMAC-00122,616,56.43,31.88,541261,42,7.182,1,Second Home,Purchase,OH,1135357,2,0,0,0.417,Current,112.76,2025-05-02
FMAC-00123,778,91.79,42.91,756760,350,7.503,2,Investment,Purchase,FL,520871,2,1,0,0.42,Current,157.66,2025-05-03
FMAC-00124,581,67.98,34.42,390414,288,5.731,1,Primary,Refinance,PA,181234,2,0,0,0.514,Foreclosure,81.34,2025-05-04
FMAC-00125,721,105.0,36.61,283141,26,8.863,3,Primary,Refinance,AZ,593622,1,0,1,0.52,Foreclosure,58.99,2025-05-05
FMAC-00126,833,94.2,45.4,723703,56,5.861,3,Primary,Purchase,PA,371246,2,3,1,0.313,Current,150.77,2025-05-06
FMAC-00127,610,71.29,18.91,523049,253,5.3,2,Primary,Purchase,IL,953539,1,0,1,0.367,Current,108.97,2025-05-07
FMAC-00128,640,97.22,51.18,274716,122,4.665,1,Investment,Refinance,NC,334501,1,0,1,0.269,Current,57.23,2025-05-08
FMAC-00129,686,79.02,38.73,684494,106,7.965,1,Investment,Purchase,GA,1039057,1,12,1,0.297,Current,142.6,2025-05-09
FMAC-00130,644,90.79,33.89,411612,130,6.527,1,Primary,Purchase,PA,718725,2,0,0,0.395,30-Day DQ,85.75,2025-05-10
FMAC-00131,571,85.27,37.11,270545,337,5.925,1,Primary,Refinance,GA,297937,2,0,0,0.393,30-Day DQ,56.36,2025-05-11
FMAC-00132,684,65.3,37.62,511544,158,4.731,1,Primary,Purchase,NY,480445,1,0,0,0.397,Current,106.57,2025-05-12
FMAC-00133,605,68.35,20.69,510000,231,6.033,1,Second Home,Purchase,NY,256454,2,0,1,0.468,Current,106.25,2025-05-13
FMAC-00134,713,93.45,52.95,103723,308,9.358,1,Primary,Cash-Out Refinance,NC,138795,1,0,1,0.287,Current,21.61,2025-05-14
FMAC-00135,615,72.98,38.41,927078,91,3.927,1,Primary,Refinance,OH,681690,1,0,0,0.454,Paid Off,193.14,2025-05-15
FMAC-00136,788,71.95,42.43,801615,22,5.742,1,Primary,Purchase,PA,555755,2,0,1,0.485,Current,167.0,2025-05-16
FMAC-00137,625,63.67,47.52,604362,290,8.651,1,Primary,Purchase,AZ,465271,1,0,1,0.297,Current,125.91,2025-05-17
FMAC-00138,657,84.35,27.79,859533,110,7.999,1,Investment,Purchase,GA,1040963,2,0,1,0.496,30-Day DQ,179.07,2025-05-18
FMAC-00139,736,105.0,42.73,368642,49,5.815,1,Primary,Cash-Out Refinance,GA,719405,1,0,1,0.451,30-Day DQ,76.8,2025-05-19
FMAC-00140,593,61.99,35.32,800882,129,6.744,1,Primary,Refinance,NY,564962,1,0,1,0.395,Foreclosure,166.85,2025-05-20
FMAC-00141,695,78.36,46.47,701169,73,7.056,1,Primary,Purchase,FL,440300,2,0,0,0.444,Current,146.08,2025-05-21
FMAC-00142,771,99.18,16.73,493757,340,6.661,1,Primary,Purchase,NC,529960,2,0,0,0.233,Current,102.87,2025-05-22
FMAC-00143,567,76.81,37.01,650217,53,8.641,1,Primary,Purchase,GA,130568,1,0,0,0.476,Current,135.46,2025-05-23
FMAC-00144,692,84.79,31.97,203199,356,6.908,1,Primary,Purchase,NY,1035495,2,0,0,0.502,Foreclosure,42.33,2025-05-24
FMAC-00145,698,62.06,42.32,311525,168,7.863,1,Primary,Refinance,NY,787887,2,0,0,0.306,30-Day DQ,64.9,2025-05-25
FMAC-00146,734,84.42,42.7,368172,45,6.718,1,Second Home,Purchase,TX,1113903,2,0,0,0.318,60-Day DQ,76.7,2025-05-26
FMAC-00147,593,75.19,30.92,109545,105,4.061,1,Primary,Purchase,GA,330066,1,3,1,0.437,Current,22.82,2025-05-27
FMAC-00148,587,92.79,30.88,683857,150,5.069,1,Primary,Purchase,TX,594957,2,0,0,0.356,30-Day DQ,142.47,2025-05-28
FMAC-00149,716,95.81,36.89,111673,146,5.318,1,Primary,Purchase,AZ,102355,2,0,1,0.318,Current,23.27,2025-05-29
FMAC-00150,700,105.0,29.03,504190,204,6.201,1,Primary,Purchase,AZ,196429,1,0,1,0.308,Current,105.04,2025-05-30
FMAC-00151,697,86.69,46.42,532115,299,8.994,1,Primary,Refinance,NY,578187,2,0,1,0.076,Current,110.86,2025-05-31
FMAC-00152,704,82.89,34.31,496313,167,6.935,1,Second Home,Refinance,FL,538949,2,0,0,0.386,Current,103.4,2025-06-01
FMAC-00153,632,80.92,10.0,435288,201,6.373,1,Primary,Cash-Out Refinance,FL,1070220,2,0,0,0.431,Current,90.68,2025-06-02
FMAC-00154,696,72.7,34.25,406968,134,7.986,1,Primary,Cash-Out Refinance,TX,211151,2,1,0,0.509,90+ DQ,84.79,2025-06-03
FMAC-00155,700,83.08,27.61,103525,211,4.758,1,Primary,Refinance,NY,427521,2,0,0,0.608,30-Day DQ,21.57,2025-06-04
FMAC-00156,629,73.57,21.69,662092,48,5.912,1,Primary,Refinance,TX,275477,2,0,1,0.39,Current,137.94,2025-06-05
FMAC-00157,810,80.53,25.63,226115,126,5.735,1,Primary,Cash-Out Refinance,NC,604898,2,1,0,0.446,Current,47.11,2025-06-06
FMAC-00158,713,97.76,39.09,646134,239,6.978,1,Primary,Purchase,TX,675817,2,0,1,0.531,Current,134.61,2025-06-07
FMAC-00159,596,62.9,51.29,157261,7,7.575,1,Primary,Purchase,OH,212833,2,0,0,0.352,Current,32.76,2025-06-08
FMAC-00160,725,95.1,41.13,837600,272,7.066,1,Primary,Purchase,GA,605527,1,3,1,0.434,Current,174.5,2025-06-09
FMAC-00161,611,97.76,31.93,580827,37,7.085,1,Primary,Refinance,AZ,663465,1,0,1,0.356,90+ DQ,121.01,2025-06-10
FMAC-00162,735,76.23,42.56,264100,211,6.067,1,Primary,Refinance,CA,741191,2,0,0,0.461,Current,55.02,2025-06-11
FMAC-00163,761,46.17,33.41,895915,165,6.885,1,Primary,Purchase,NY,581465,1,2,0,0.433,60-Day DQ,186.65,2025-06-12
FMAC-00164,622,68.88,31.05,87265,125,5.492,1,Primary,Purchase,FL,168590,2,0,0,0.445,30-Day DQ,18.18,2025-06-13
FMAC-00165,747,97.45,26.46,889195,337,7.309,1,Primary,Purchase,PA,977000,2,3,0,0.514,Current,185.25,2025-06-14
FMAC-00166,708,77.66,20.48,286724,192,5.899,1,Investment,Purchase,GA,935399,2,0,0,0.378,Current,59.73,2025-06-15
FMAC-00167,737,63.01,34.1,95733,218,5.154,1,Primary,Purchase,CA,508286,2,0,0,0.505,Current,19.94,2025-06-16
FMAC-00168,812,70.43,39.58,695326,214,6.545,3,Primary,Purchase,OH,907932,2,0,0,0.617,Current,144.86,2025-06-17
FMAC-00169,662,90.61,37.03,379564,62,4.204,1,Primary,Purchase,PA,599203,1,0,1,0.563,90+ DQ,79.08,2025-06-18
FMAC-00170,627,86.2,33.84,744607,328,8.269,1,Investment,Refinance,FL,1001907,2,0,1,0.29,30-Day DQ,155.13,2025-06-19
FMAC-00171,617,74.42,28.54,538365,161,7.457,1,Investment,Refinance,OH,634299,1,0,1,0.436,Current,112.16,2025-06-20
FMAC-00172,622,72.5,44.08,101058,66,6.904,1,Primary,Refinance,FL,279111,2,0,0,0.667,Paid Off,21.05,2025-06-21
FMAC-00173,674,72.12,24.83,326301,286,4.552,1,Primary,Refinance,FL,502112,1,0,0,0.522,Current,67.98,2025-06-22
FMAC-00174,703,64.16,45.76,377073,239,5.66,4,Investment,Refinance,NY,457479,1,0,0,0.553,Foreclosure,78.56,2025-06-23
FMAC-00175,699,102.23,27.98,242434,20,6.549,1,Primary,Refinance,PA,1097622,2,0,0,0.439,Current,50.51,2025-06-24
FMAC-00176,737,73.17,30.48,690777,188,6.184,1,Primary,Refinance,NC,100814,1,0,0,0.48,30-Day DQ,143.91,2025-06-25
FMAC-00177,680,96.26,23.33,688952,82,4.474,1,Second Home,Refinance,TX,568492,2,0,1,0.513,Current,143.53,2025-06-26
FMAC-00178,781,100.82,32.99,782716,202,4.92,1,Primary,Purchase,TX,1118585,2,3,0,0.401,30-Day DQ,163.07,2025-06-27
FMAC-00179,661,92.97,47.75,157597,132,6.16,3,Primary,Purchase,GA,103825,1,0,1,0.491,Current,32.83,2025-06-28
FMAC-00180,850,71.53,43.16,872473,37,4.96,1,Second Home,Refinance,FL,674656,1,0,0,0.379,Current,181.77,2025-06-29
FMAC-00181,723,84.06,47.78,158209,132,8.146,1,Primary,Purchase,GA,508016,2,1,1,0.343,Current,32.96,2025-06-30
FMAC-00182,619,77.64,43.22,862397,77,7.093,1,Primary,Purchase,PA,186390,2,0,0,0.607,90+ DQ,179.67,2025-07-01
FMAC-00183,605,64.44,26.96,272941,89,5.536,1,Primary,Purchase,FL,323923,2,0,0,0.471,Current,56.86,2025-07-02
FMAC-00184,713,82.87,34.69,756419,253,7.903,1,Primary,Purchase,FL,830377,1,0,0,0.292,Current,157.59,2025-07-03
FMAC-00185,664,60.31,30.2,704152,344,7.661,1,Primary,Cash-Out Refinance,CA,279577,2,3,1,0.418,60-Day DQ,146.7,2025-07-04
FMAC-00186,729,95.82,51.31,228620,194,6.847,1,Primary,Purchase,AZ,838142,2,0,1,0.371,Foreclosure,47.63,2025-07-05
FMAC-00187,713,71.03,26.03,488294,176,6.452,1,Primary,Purchase,TX,909033,2,12,1,0.453,Current,101.73,2025-07-06
FMAC-00188,674,81.02,46.94,478635,33,6.142,1,Investment,Purchase,PA,522768,1,1,0,0.337,90+ DQ,99.72,2025-07-07
FMAC-00189,620,82.25,46.93,246562,58,5.852,1,Primary,Refinance,OH,561107,2,0,0,0.544,Current,51.37,2025-07-08
FMAC-00190,573,74.12,56.3,287158,201,4.896,1,Second Home,Refinance,OH,593915,1,0,1,0.517,30-Day DQ,59.82,2025-07-09
FMAC-00191,648,86.8,33.9,719446,28,8.334,1,Second Home,Refinance,NC,264364,1,0,1,0.266,30-Day DQ,149.88,2025-07-10
FMAC-00192,739,70.88,45.12,81468,35,5.875,1,Primary,Refinance,IL,228424,2,0,0,0.501,Current,16.97,2025-07-11
FMAC-00193,694,91.07,60.82,366453,125,6.534,1,Primary,Purchase,PA,225451,2,0,1,0.632,Current,76.34,2025-07-12
FMAC-00194,592,57.81,31.82,152255,321,5.408,1,Second Home,Purchase,IL,428241,2,6,1,0.404,Current,31.72,2025-07-13
FMAC-00195,692,79.9,22.65,862366,42,6.189,1,Primary,Purchase,CA,771544,2,0,0,0.528,Current,179.66,2025-07-14
